id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1248133802603544578,1248126784274665472,1586413262000,2020-04-08,23:21:02,PDT,55125114,darockreaper,#GeneralStrike2020 | darockreaper,,"If I can make a serious case that Bernie only questioned his policy, not the rape accusations, not the Hunter Biden problems, not him lying about his civil rights record several times, how has this man been vetted? Biden is gonna get rolled vs Trump","['super_shazbot', 'emdstowers', 'briebriejoy']",[],[],0,0,0,[],[],https://twitter.com/darockreaper/status/1248133802603544578,False,,0,Washington DC,,,,,,"[{'user_id': '55125114', 'username': 'darockreaper'}, {'user_id': '1086799036563234816', 'username': 'Super_Shazbot'}, {'user_id': '803311702032850944', 'username': 'EmDStowers'}, {'user_id': '1332630685', 'username': 'briebriejoy'}]",,,,
1248133767983779840,1247904746750406656,1586413254000,2020-04-08,23:20:54,PDT,627845785,hystakes365,Dennis Jones,,"My honest opinion it's a part of Trump's team  reelection strategy, your convincing white folks it's a black problem, on top of that their poor so they are disposable, then you look at the states that are not on lockdown poor, rural, farmers, small towns, predominantly white
Then  pic.twitter.com/ES9coDqLKS",['dillardvicki'],[],[],0,0,0,[],[],https://twitter.com/hystakes365/status/1248133767983779840,False,,1,Washington DC,,,,,,"[{'user_id': '627845785', 'username': 'hystakes365'}, {'user_id': '718445586', 'username': 'DillardVicki'}]",,,,
1248133677747298305,1248133677747298305,1586413232000,2020-04-08,23:20:32,PDT,1222220916639166465,_lilpolitician,lil politician,,Some people need to be reminded of what Trump did.  https://twitter.com/funder/status/938433479192338432 …,[],['https://twitter.com/funder/status/938433479192338432'],[],0,0,0,[],[],https://twitter.com/_lilpolitician/status/1248133677747298305,False,https://twitter.com/funder/status/938433479192338432,0,Washington DC,,,,,,"[{'user_id': '1222220916639166465', 'username': '_lilpolitician'}]",,,,
1248133460579016705,1248133460579016705,1586413180000,2020-04-08,23:19:40,PDT,18956073,dcexaminer,Washington Examiner,,"""I don't know why President Obama hasn't supported Joe Biden a long time ago. He certainly doesn't want to see me for 4 more years. We think a little bit differently. 

He knows something that you don't know. I think I know, but you don't know."" – @realDonaldTrump  pic.twitter.com/lvBbGMOoQm",['realdonaldtrump'],[],[],2,1,2,[],[],https://twitter.com/dcexaminer/status/1248133460579016705,False,,1,Washington DC,,,,,,"[{'user_id': '18956073', 'username': 'dcexaminer'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1248133323324444673,1247874681232920581,1586413148000,2020-04-08,23:19:08,PDT,866858649737506817,richardpmpfx,Richard Malzahn,,"While I agree that Trump would undoubtedly love to become a fascist dictator for life, he doesn't refer to himself as a fascist.  Bernie, on the other hand, refers to himself as a socialist.

It's best to be honest about this kind of thing.","['breenewsome', 'moonwatcher1']",[],[],0,0,0,[],[],https://twitter.com/RichardPMPfx/status/1248133323324444673,False,,0,Washington DC,,,,,,"[{'user_id': '866858649737506817', 'username': 'RichardPMPfx'}, {'user_id': '110326494', 'username': 'BreeNewsome'}, {'user_id': '14101527', 'username': 'moonwatcher1'}]",,,,
1248133043639984133,1248133043639984133,1586413081000,2020-04-08,23:18:01,PDT,43694024,ibishblog,Hussein Ibish,,Trump would certain disdain him as a “total loser”  https://twitter.com/eliistender10/status/1248130554626793473 …,[],['https://twitter.com/eliistender10/status/1248130554626793473'],[],0,0,0,[],[],https://twitter.com/Ibishblog/status/1248133043639984133,False,https://twitter.com/eliistender10/status/1248130554626793473,0,Washington DC,,,,,,"[{'user_id': '43694024', 'username': 'Ibishblog'}]",,,,
1248132992775720961,1247863031687720963,1586413069000,2020-04-08,23:17:49,PDT,240939819,briankmcneal,B McNeal,,"NEW POLL: My left testicle would handle coronavirus better than Trump (it hangs slightly lower than the right, keeping me in touch with my surroundings).",['thehill'],[],[],0,0,0,[],[],https://twitter.com/Briankmcneal/status/1248132992775720961,False,,0,Washington DC,,,,,,"[{'user_id': '240939819', 'username': 'Briankmcneal'}, {'user_id': '1917731', 'username': 'thehill'}]",,,,
1248132906943254529,1247945901659893760,1586413048000,2020-04-08,23:17:28,PDT,1895332513,liconn54,❄️❄️ Liz Conner ❄️❄️,,"Surprise, surprise, surprise! A #BernieExtremist having a temper tantrum because his 1st choice dropped out due to no path to the nomination. Even Bernie knows Trump is the existential threat & plans to support the Dem nominee. Why can’t you figure it out?","['alaskanoutside', 'casarezkk']",[],[],0,0,0,['#bernieextremist'],[],https://twitter.com/Liconn54/status/1248132906943254529,False,,0,Washington DC,,,,,,"[{'user_id': '1895332513', 'username': 'Liconn54'}, {'user_id': '790744068699492352', 'username': 'AlaskanOutside'}, {'user_id': '1047142244128624642', 'username': 'CasarezKk'}]",,,,
1248132811229294592,1247949131424776193,1586413026000,2020-04-08,23:17:06,PDT,1169455352573616128,nwsteven83,Steve🏳️‍🌈🇺🇸,,"Wow you love a good conspiracy theory don't you? 😂 Should of known I was talking to a Nut. You wouldn't know reality if it smacked ya in that ignorant face of yours, would ya? Sorry ya'll lost again...I can see who you are really supporting. Just vote for Trump then. Be honest.","['france4senate', 'irvinewaylon', 'proudresister', 'briebriejoy', 'berniesanders']",[],[],1,0,0,[],[],https://twitter.com/NWSteven83/status/1248132811229294592,False,,0,Washington DC,,,,,,"[{'user_id': '1169455352573616128', 'username': 'NWSteven83'}, {'user_id': '1018805688858841088', 'username': 'France4Senate'}, {'user_id': '745245625789276160', 'username': 'IrvineWaylon'}, {'user_id': '755057897583804416', 'username': 'ProudResister'}, {'user_id': '1332630685', 'username': 'briebriejoy'}, {'user_id': '216776631', 'username': 'BernieSanders'}]",,,,
1248132512905170945,1248038163429425154,1586412954000,2020-04-08,23:15:54,PDT,2442142726,catchef71,Cathy~Deplorable🇺🇸❌,,"Lmfao! Biden doesn't even know where hes at or what day it is! Your TDS is so bad that you'd support someone with obvious dementia! Dont worry, Trump's going to win and our country will be safe from quidprojoe!","['itsdc2', 'thebradfordfile', 'joebiden']",[],[],0,0,0,[],[],https://twitter.com/catchef71/status/1248132512905170945,False,,0,Washington DC,,,,,,"[{'user_id': '2442142726', 'username': 'catchef71'}, {'user_id': '1084663031735422977', 'username': 'itsdc2'}, {'user_id': '3406938525', 'username': 'thebradfordfile'}, {'user_id': '939091', 'username': 'JoeBiden'}]",,,,
