,date,state,fips,cases,deaths
538,2020-03-11,Wyoming,56,1,0
585,2020-03-12,Wyoming,56,1,0
636,2020-03-13,Wyoming,56,2,0
688,2020-03-14,Wyoming,56,3,0
741,2020-03-15,Wyoming,56,3,0
794,2020-03-16,Wyoming,56,10,0
848,2020-03-17,Wyoming,56,15,0
902,2020-03-18,Wyoming,56,17,0
956,2020-03-19,Wyoming,56,18,0
1010,2020-03-20,Wyoming,56,22,0
1064,2020-03-21,Wyoming,56,24,0
1118,2020-03-22,Wyoming,56,26,0
1172,2020-03-23,Wyoming,56,28,0
1226,2020-03-24,Wyoming,56,37,0
1280,2020-03-25,Wyoming,56,49,0
1334,2020-03-26,Wyoming,56,56,0
1388,2020-03-27,Wyoming,56,73,0
1443,2020-03-28,Wyoming,56,84,0
1498,2020-03-29,Wyoming,56,87,0
1553,2020-03-30,Wyoming,56,95,0
1608,2020-03-31,Wyoming,56,120,0
1663,2020-04-01,Wyoming,56,137,0
1718,2020-04-02,Wyoming,56,153,0
1773,2020-04-03,Wyoming,56,166,0
1828,2020-04-04,Wyoming,56,187,0
1883,2020-04-05,Wyoming,56,200,0
1938,2020-04-06,Wyoming,56,212,0
1993,2020-04-07,Wyoming,56,221,0
