state,SupportRate
Alabama,53
Alaska,50
Arizona,41
Arkansas,50
California,29
Colorado,37
Connecticut,31
Delaware,36
Florida,41
Georgia,41
Hawaii,29
Idaho,53
Illinois,33
Indiana,44
Iowa,43
Kansas,48
Kentucky,51
Louisiana,49
Maine,42
Maryland,30
Massachusetts,27
Michigan,40
Minnesota,37
Mississippi,48
Missouri,47
Montana,52
Nation,38
Nebraska,49
Nevada,42
New Hampshire,42
New Jersey,34
New Mexico,35
New York,30
North Carolina,40
North Dakota,57
Ohio,45
Oklahoma,53
Oregon,36
Pennsylvania,42
Rhode Island,32
South Carolina,48
South Dakota,54
Tennessee,50
Texas,39
Utah,48
Vermont,26
Virginia,37
Washington,34
West Virginia,61
Wisconsin,41
Wyoming,57
